code_iata,code_oaci,name,iso_country,latitude_deg,longitude_deg
JPA,SBJP,Presidente Castro Pinto International Airport,BR,-7.148691,-34.950554
RRJ,SBJR,Jacarepaguá - Roberto Marinho Airport,BR,-22.986773,-43.372194
JDO,SBJU,Orlando Bezerra de Menezes Airport,BR,-7.21932,-39.269096
JOI,SBJV,Lauro Carneiro de Loyola Airport,BR,-26.224501,-48.797401
CPV,SBKG,Presidente João Suassuna Airport,BR,-7.269662,-35.896057
VCP,SBKP,Viracopos International Airport,BR,-23.007404,-47.134502
LEC,SBLE,Coronel Horácio de Mattos Airport,BR,-12.4823,-41.277
LAJ,SBLJ,Lages Airport,BR,-27.782101,-50.281502
LIP,SBLN,Lins Airport,BR,-21.663491,-49.729954
LDB,SBLO,Governor José Richa Airport,BR,-23.334375,-51.128365
LAZ,SBLP,Bom Jesus da Lapa Airport,BR,-13.2621,-43.4081
MAB,SBMA,João Correa da Rocha Airport,BR,-5.36859,-49.138
MQH,SBMC,Minaçu Airport,BR,-13.5491,-48.195301
MEU,SBMD,Monte Dourado - Serra do Areão Airport,BR,-0.889839,-52.6022
MEA,SBME,Macaé Benedito Lacerda Airport,BR,-22.343,-41.765999
MGF,SBMG,Regional de Maringá - Sílvio Name Júnior Airport,BR,-23.47606,-52.016187
MOC,SBMK,Mário Ribeiro Airport,BR,-16.706919,-43.818901
MII,SBML,Frank Miloye Milenkowichi–Marília State Airport,BR,-22.196899,-49.926485
PLL,SBMN,Ponta Pelada Airport / Manaus Air Base,BR,-3.14604,-59.986301
MCZ,SBMO,Zumbi dos Palmares Airport,BR,-9.51081,-35.791698
MCP,SBMQ,Macapá - Alberto Alcolumbre International Airport,BR,0.050664,-51.072201
MVF,SBMS,Dix-Sept Rosado Airport,BR,-5.20192,-37.3643
RTE,SBMT,Campo de Marte Airport,BR,-23.5091,-46.637798
MNX,SBMY,Manicoré Airport,BR,-5.81138,-61.278301
NVT,SBNF,Ministro Victor Konder International Airport,BR,-26.879431,-48.650979
GEL,SBNM,Santo Ângelo Airport,BR,-28.282503,-54.169623
OYK,SBOI,Oiapoque Airport,BR,3.85412,-51.797056
POA,SBPA,Salgado Filho International Airport,BR,-29.994712,-51.166592
PHB,SBPB,Parnaíba - Prefeito Doutor João Silva Filho International Airport,BR,-2.89375,-41.731998
POO,SBPC,Poços de Caldas - Embaixador Walther Moreira Salles Airport,BR,-21.842529,-46.569768
PFB,SBPF,Lauro Kurtz Airport,BR,-28.243976,-52.32777
PGZ,SBPG,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,BR,-25.184476,-50.143822
PMW,SBPJ,Brigadeiro Lysias Rodrigues Airport,BR,-10.2915,-48.356998
PET,SBPK,João Simões Lopes Neto International Airport,BR,-31.717253,-52.327952
PNZ,SBPL,Senador Nilo Coelho Airport,BR,-9.362422,-40.569098
PNB,SBPN,Porto Nacional Airport,BR,-10.719402,-48.3997
PTO,SBPO,Juvenal Loureiro Cardoso Airport,BR,-26.217184,-52.694463
PMG,SBPP,Ponta Porã Airport,BR,-22.549601,-55.702599
BPS,SBPS,Porto Seguro Airport,BR,-16.438426,-39.080584
PVH,SBPV,Governador Jorge Teixeira de Oliveira Airport,BR,-8.707854,-63.90242
RBR,SBRB,Rio Branco-Plácido de Castro International Airport,BR,-9.869031,-67.893984
ROO,SBRD,Maestro Marinho Franco Airport,BR,-16.584292,-54.724803
REC,SBRF,Recife/Guararapes - Gilberto Freyre International Airport,BR,-8.125984,-34.923316
SDU,SBRJ,Santos Dumont Airport,BR,-22.9105,-43.163101
RAO,SBRP,Leite Lopes Airport,BR,-21.134314,-47.774053
BRB,SBRR,Barreirinhas National Airport,BR,-2.756644,-42.803187
SNZ,SBSC,Santa Cruz Air Force Base,BR,-22.9324,-43.719101
NAT,SBSG,São Gonçalo do Amarante - Governador Aluízio Alves International Airport,BR,-5.769804,-35.366578
OPS,SBSI,Presidente João Batista Figueiredo Airport,BR,-11.885001,-55.586109
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport,BR,-23.2292,-45.8615
SLZ,SBSL,Marechal Cunha Machado International Airport,BR,-2.58536,-44.2341
RIA,SBSM,Santa Maria Airport,BR,-29.711399,-53.688202
STM,SBSN,Santarém - Maestro Wilson Fonseca International Airport,BR,-2.422423,-54.79306
SMT,SBSO,Adolino Bedin Regional Airport,BR,-12.479177,-55.672341
CGH,SBSP,Congonhas Airport,BR,-23.627657,-46.654601
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,BR,-20.817113,-49.406963
SSZ,SBST,Santos Nero Moura Air Base / Guarujá Airport,BR,-23.928192,-46.300195
SSA,SBSV,Deputado Luiz Eduardo Magalhães International Airport,BR,-12.908611,-38.322498
TMT,SBTB,Trombetas Airport,BR,-1.4896,-56.396801
UNA,SBTC,Una-Comandatuba Airport,BR,-15.354358,-38.998729
TOW,SBTD,Toledo - Luiz Dalcanale Filho Municipal Airport,BR,-24.6863,-53.697498
THE,SBTE,Senador Petrônio Portela Airport,BR,-5.06025,-42.823712
TFF,SBTF,Tefé Airport,BR,-3.38294,-64.724098
TJL,SBTG,Plínio Alarcom Airport,BR,-20.752643,-51.682026
TRQ,SBTK,Tarauacá Airport,BR,-8.155534,-70.782985
TEC,SBTL,Telêmaco Borba Airport,BR,-24.317801,-50.6516
TSQ,SBTR,Torres Airport,BR,-29.4149,-49.810001
TBT,SBTT,Tabatinga Airport,BR,-4.25567,-69.935799
TUR,SBTU,Tucuruí Airport,BR,-3.78601,-49.720299
SJL,SBUA,São Gabriel da Cachoeira Airport,BR,-0.14835,-66.9855
PAV,SBUF,Paulo Afonso Airport,BR,-9.40088,-38.250599
URG,SBUG,Rubem Berta Airport,BR,-29.7822,-57.0382
UDI,SBUL,Ten. Cel. Aviador César Bombonato Airport,BR,-18.883579,-48.225936
UBA,SBUR,Mário de Almeida Franco Airport,BR,-19.765036,-47.964805
RPU,SBUY,Urucu Airport,BR,-4.884263,-65.355421
VAG,SBVG,Major Brigadeiro Trompowsky Airport,BR,-21.591375,-45.474116
BVH,SBVH,Brigadeiro Camarão Airport,BR,-12.6944,-60.098301
VIX,SBVT,Eurico de Aguiar Salles Airport,BR,-20.258,-40.285
QPS,SBYS,Campo Fontenelle,BR,-21.984692,-47.341207
IZA,SBZM,Presidente Itamar Franco Airport,BR,-21.513086,-43.173069
ZUD,SCAC,Pupelde Airport,CL,-41.904251,-73.796571
LOB,SCAN,San Rafael Airport,CL,-32.814201,-70.646698
WAP,SCAP,Alto Palena Airport,CL,-43.611492,-71.805452
ARI,SCAR,Chacalluta Airport,CL,-18.348499,-70.338699
WPA,SCAS,Cabo Juan Román Airfield,CL,-45.3992,-72.670303
CPO,SCAT,Desierto de Atacama Airport,CL,-27.2611999512,-70.7791976929
BBA,SCBA,Balmaceda Airport,CL,-45.915968,-71.689499
TOQ,SCBE,Barriles Airport,CL,-22.1411,-70.062897
DPB,SCBI,Pampa Guanaco Airport,CL,-54.049977,-68.809193
CCH,SCCC,Chile Chico Airport,CL,-46.5831,-71.686323
CJC,SCCF,El Loa Airport,CL,-22.498199,-68.903603
YAI,SCCH,Gral. Bernardo O´Higgins Airport,CL,-36.5825,-72.031403
PUQ,SCCI,President Carlos Ibañez del Campo International Airport,CL,-53.002602,-70.854599
COW,SCCQ,Tambillos Airport,CL,-30.198889,-71.246944
GXQ,SCCY,Teniente Vidal Airport,CL,-45.5942,-72.106102
IQQ,SCDA,Diego Aracena Airport,CL,-20.5352,-70.181297
SCL,SCEL,Comodoro Arturo Merino Benítez International Airport,CL,-33.393001556396484,-70.78579711914062
ESR,SCES,Ricardo García Posada Airport,CL,-26.3111,-69.765198
FRT,SCEV,El Avellano Airport,CL,-41.051666,-73.35111
ANF,SCFA,Andrés Sabella Gálvez International Airport,CL,-23.444501,-70.445099
WPR,SCFM,Captain Fuentes Martinez Airport,CL,-53.2537,-70.319199
FFU,SCFT,Futaleufú Airport,CL,-43.189201,-71.851097
UGL,SCGC,Union Glacier Blue-Ice Runway,AQ,-79.777778,-83.320833
LSQ,SCGE,María Dolores Airport,CL,-37.401699,-72.4254
WPU,SCGZ,Guardia Marina Zañartu Airport,CL,-54.931099,-67.626297
LGR,SCHR,Cochrane Airport,CL,-47.243591,-72.58815
CCP,SCIE,Carriel Sur Airport,CL,-36.772701,-73.063103
IPC,SCIP,Mataveri Airport,CL,-27.1648006439,-109.42199707
